,nombre,marca,precio,color,talla,categoria
235,Vestido Maxi Escote Cascada,Natural by Lila,49.95,sin definir,S,largo
236,Vestido Maxi Escote Cascada,Natural by Lila,49.95,sin definir,M,largo
237,Vestido Multiposición Largo,Natural by Lila,44.95,sin definir,S,largo
238,Vestido Multiposición Largo,Natural by Lila,44.95,sin definir,M,largo
239,Vestido Cascada Ceñido,Natural by Lila,49.95,sin definir,S,largo
240,Vestido Cascada Ceñido,Natural by Lila,49.95,sin definir,M,largo
241,Vestido Marbella,Natural by Lila,29.99,sin definir,S,largo
242,Vestido Marbella,Natural by Lila,29.99,sin definir,M,largo
243,Vestido Menorca,Natural by Lila,49.95,sin definir,S,largo
244,Vestido Menorca,Natural by Lila,49.95,sin definir,M,largo
245,Vestido Jávea,Natural by Lila,39.95,sin definir,S,largo
246,Vestido Jávea,Natural by Lila,39.95,sin definir,M,largo
247,Vestido Naila,Natural by Lila,49.95,sin definir,S,largo
248,Vestido Naila,Natural by Lila,49.95,sin definir,M,largo
249,Vestido Los Angeles,Natural by Lila,39.95,sin definir,S,largo
250,Vestido Los Angeles,Natural by Lila,39.95,sin definir,M,largo
251,Vestido Santa Eulàlia,Natural by Lila,44.95,sin definir,S,largo
252,Vestido Santa Eulàlia,Natural by Lila,44.95,sin definir,M,largo
253,Vestido Asimétrico Lycra con Tira Larga,Natural by Lila,49.95,sin definir,S,largo
254,Vestido Asimétrico Lycra con Tira Larga,Natural by Lila,49.95,sin definir,M,largo
255,Vestido Mirla Orange,Natural by Lila,39.95,sin definir,S,largo
256,Vestido Mirla Orange,Natural by Lila,39.95,sin definir,M,largo
257,Vestido Boho Marrakech,Natural by Lila,39.95,sin definir,S,largo
258,Vestido Boho Marrakech,Natural by Lila,39.95,sin definir,M,largo
259,Vestido Dalt Vila,Natural by Lila,44.95,sin definir,S,largo
260,Vestido Dalt Vila,Natural by Lila,44.95,sin definir,M,largo
261,Vestido Es Caló,Natural by Lila,44.95,sin definir,S,largo
262,Vestido Es Caló,Natural by Lila,44.95,sin definir,M,largo
263,Vestido Escote Corsé Popelin,Natural by Lila,39.95,sin definir,S,largo
