,nombre,marca,precio,color,talla,stock,categoria
349,plus size faux gem midi sweater dress,Forever21,44.99,negro,2X,51.0,midi
350,plus size faux gem midi sweater dress,Forever21,44.99,negro,3X,51.0,midi
351,plus size faux gem midi sweater dress,Forever21,44.99,negro,4X,16.0,midi
352,one-shoulder bow mini tube dress,Forever21,34.99,blanco,S,40.0,mini
353,one-shoulder bow mini tube dress,Forever21,34.99,blanco,M,83.0,mini
354,one-shoulder bow mini tube dress,Forever21,34.99,blanco,L,84.0,mini
355,one-shoulder bow mini tube dress,Forever21,34.99,blanco,XL,42.0,mini
356,one-shoulder bow mini tube dress,Forever21,34.99,negro,S,30.0,mini
357,one-shoulder bow mini tube dress,Forever21,34.99,negro,M,65.0,mini
358,one-shoulder bow mini tube dress,Forever21,34.99,negro,L,65.0,mini
359,one-shoulder bow mini tube dress,Forever21,34.99,negro,XL,33.0,mini
360,sheer flocked paisley maxi dress,Forever21,44.99,negro,XS,30.0,maxi
361,sheer flocked paisley maxi dress,Forever21,44.99,negro,S,70.0,maxi
362,sheer flocked paisley maxi dress,Forever21,44.99,negro,M,60.0,maxi
363,sheer flocked paisley maxi dress,Forever21,44.99,negro,L,40.0,maxi
364,sheer flocked paisley maxi dress,Forever21,44.99,negro,XL,29.0,maxi
365,sheer flocked paisley maxi dress,Forever21,44.99,rojo,XS,48.0,maxi
366,sheer flocked paisley maxi dress,Forever21,44.99,rojo,S,115.0,maxi
367,sheer flocked paisley maxi dress,Forever21,44.99,rojo,M,98.0,maxi
368,sheer flocked paisley maxi dress,Forever21,44.99,rojo,L,66.0,maxi
369,sheer flocked paisley maxi dress,Forever21,44.99,rojo,XL,49.0,maxi
370,rhinestone buckled mini dress,Forever21,39.99,negro,XS,30.0,mini
371,rhinestone buckled mini dress,Forever21,39.99,negro,S,70.0,mini
372,rhinestone buckled mini dress,Forever21,39.99,negro,M,60.0,mini
373,rhinestone buckled mini dress,Forever21,39.99,negro,L,39.0,mini
374,rhinestone buckled mini dress,Forever21,39.99,negro,XL,30.0,mini
375,jacquard floral halter mini dress,Forever21,29.99,negro,XS,28.0,mini
